"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"599",39,1,0,2,0.3,0.692015079971306,-0.562447819709942,-0.13199373557865,0.79775136836391,-1.45449499542039,0.637689020344106,-1.2412874845952,0.449356184114332,-1.00532724120262,0,0.006,0.018,-0.263421816893909
"600",40,1,1,2,0.3,0.566583831707034,1.24589694018786,0.928649393736854,2.06937699429409,0.0352298310755021,1.90434546694403,0.20484305507553,1.71574804433567,0.397820970221093,0.558,0.696,0.816,1.05853568065787
"601",41,1,2,2,0.3,1.09434532971908,2.91641464096132,1.89833923933353,3.45319599840999,1.11452136845366,3.23769264849609,1.28780229415699,3.00085253893806,1.48839318400956,0.998,1,1,2.23419121375596
"602",42,1,3,2,0.3,0.601466469638368,3.00862154393426,2.817975549603,4.36445065360077,1.68161725496315,4.10483684266224,1.86683053217592,3.81722418563826,2.08439528707828,1,1,1,2.93011926162226
"603",43,1,-3,3,0.3,1.13724088436836,-3.54385662988772,-2.40661574551936,-1.20894536513541,-5.20120262004928,-1.43053434308091,-4.76408740270861,-1.70193931670435,-4.28459651374375,0,0,0,-2.92558996182661
"604",44,1,-2,3,0.3,0.712390144716818,-2.12733395130909,-1.92438708346364,-0.680111660360735,-3.80635403144334,-0.866894159005372,-3.47127346990177,-1.09089352690984,-3.10521391002709,0,0,0,-2.05488962934552
"605",45,1,-1,3,0.3,0.661316680718872,-1.07885336605908,-1.14910098574165,-0.000810139414494172,-2.41353400087103,-0.160790217473471,-2.17171387487547,-0.349055728861158,-1.90714176852678,0,0,0,-1.10567105601504
"606",46,1,0,3,0.3,0.575155616070296,-0.0969228817545173,-0.13199373557865,0.851612864391318,-1.1314842794919,0.706401445423032,-0.951419502537791,0.536839004014625,-0.749444692344414,0,0.01,0.02,-0.0968408504719676
"607",47,1,1,3,0.3,0.69807793672614,1.49378209097138,0.928649393736854,2.13427903815258,0.277280243948924,1.98218950231756,0.428694987915114,1.80901004827594,0.601985379112038,0.776,0.882,0.966,1.20525536492339
"608",48,1,2,3,0.3,0.702054813625418,2.36298839140216,1.89833923933353,3.19155251875007,1.10356011744591,3.00467746766249,1.26025405919631,2.796093360188,1.44136481514424,1,1,1,2.11033950669163
"609",49,1,3,3,0.3,0.595555576499241,2.74350393765871,2.817975549603,4.06668633137853,1.69030042237436,3.84072464665982,1.85905567881359,3.59121473603163,2.05539922644605,1,1,1,2.80743263640976
"610",50,1,-3,4,0.3,1.33134803290658,-3.73796377842594,-2.40661574551936,-1.34050943755169,-5.27426576176657,-1.55735294536988,-4.8435001821567,-1.82296523782225,-4.37135750942269,0,0,0,-3.03041343655379
"611",51,1,-2,4,0.3,0.754065524224054,-2.3875626765267,-1.92438708346364,-0.833095219557661,-3.91460216212643,-1.0163388595311,-3.58365614104764,-1.23588703913601,-3.22058700646804,0,0,0,-2.18492347908038
"612",52,1,-1,4,0.3,0.668995849003217,-1.18670152125669,-1.14910098574165,-0.109167225145668,-2.39866411361104,-0.261651603289573,-2.17105074731816,-0.440964753331637,-1.91954319094664,0,0,0,-1.1589671903631
"613",53,1,0,4,0.3,0.578215164340524,-0.0390900685136366,-0.13199373557865,0.818740936609758,-1.02290196428886,0.682185916685586,-0.858180588393699,0.523380955422559,-0.67201907676479,0,0.01,0.022,-0.0657862141729583
