"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"97",97,-3,2,2,0.7,0.713034137700684,1.48168404202134,1.82329242797051,2.83882212543873,0.609745560230607,2.63519541421572,0.776786323810947,2.40866537106018,0.968448284850829,0,0,0,1.67826540802654
"98",98,-3,3,2,0.7,0.831339289170669,1.9266937669535,2.56837663533737,3.59958352264582,1.13109305753704,3.3613908210081,1.30234264391499,3.09723061903124,1.50308923670522,0,0,0,2.28105514093111
"99",99,-3,-3,3,0.7,1.08828621416812,-3.09438828481413,-2.00610207064601,-1.14359693427497,-5.3104294088037,-1.37140343318689,-4.85245035092289,-1.65010381575261,-4.34890634757962,1,1,1,-2.92705608588777
"100",100,-3,-2,3,0.7,0.561408460975574,-2.11865774694025,-1.7107407814552,-0.649894235156293,-3.93769836334021,-0.841879720859682,-3.5830494992133,-1.07455046467851,-3.19339299241144,0.986,0.996,1,-2.08627765742732
"101",101,-3,-1,3,0.7,0.998226265190857,-0.383557626470079,-1.15396297347543,0.418809458059063,-1.72698071675705,0.268015326457321,-1.52183637327823,0.0910437689210346,-1.29711550480562,0,0.124,0.35,-0.588079550741351
"102",102,-3,0,3,0.7,0.849205008795738,0.227831460976067,-0.240252588066083,1.05067655114146,-0.864523947338745,0.905311715844969,-0.695794054869948,0.73657095469741,-0.504858676021995,0,0,0,0.122386207633988
"103",103,-3,1,3,0.7,0.710215485503793,0.690950292141736,0.862288797940845,1.700404468706,-0.137118279818063,1.54970272212241,0.0134055394616099,1.37761113986922,0.185033101802143,0,0,0,0.781748264873959
"104",104,-3,2,3,0.7,0.681384692474314,1.77759695952896,1.82329242797051,2.89512412133979,0.878132482215185,2.71060768596801,1.02570601622105,2.50503970872241,1.19776644536831,0,0,0,1.84072210982851
"105",105,-3,3,3,0.7,0.636847482562999,2.44225647754035,2.56837663533737,3.86022900152458,1.49194016003914,3.62664290475538,1.65013716039486,3.36955255823098,1.83777642322784,0,0,0,2.58279934985638
"106",106,-3,-3,4,0.7,0.371939841972426,-2.36595694438079,-2.00610207064601,-0.954950388488101,-4.33163940692024,-1.14715364908526,-3.96074522115842,-1.38183856579264,-3.55722865896534,1,1,1,-2.41729432425406
"107",107,-3,-2,4,0.7,0.757022101873337,-1.36966313525823,-1.7107407814552,-0.372576960872937,-2.89053129186219,-0.531611709689747,-2.63059335007359,-0.720888803384631,-2.34571053855759,0.95,0.996,0.998,-1.50489629003561
"108",108,-3,-1,4,0.7,1.05455148635898,-0.279940201904151,-1.15396297347543,0.430887135301864,-1.46108040645059,0.295031333212395,-1.28729956225717,0.135868643409076,-1.09055077054426,0,0.002,0.34,-0.466245851357861
"109",109,-3,0,4,0.7,0.918339716849799,0.384335888367395,-0.240252588066083,1.09429138162399,-0.609776093674666,0.962310394949703,-0.4627732677282,0.809980766002053,-0.295822777537651,0,0,0,0.261337378826378
"110",110,-3,1,4,0.7,0.752372900802019,0.550635120131627,0.862288797940845,1.4861718338194,-0.173853545925258,1.35229316621669,-0.0365633173167022,1.19932906588964,0.120961439133212,0,0,0,0.661010739815828
"111",111,-3,2,4,0.7,0.698465099442264,1.54189096130707,1.82329242797051,2.55897124803025,0.797018328172344,2.40318573597239,0.929852457835199,2.22711192007393,1.08345817793101,0,0,0,1.64844388253759
"112",112,-3,3,4,0.7,0.663016178575752,2.21656687101316,2.56837663533737,3.46089495306235,1.42513670592223,3.26742362423891,1.56631492525142,3.05251538726262,1.73282377288702,0,0,0,2.37801394579845
